formatted_date,date,close,high,low,open,volume,adjclose,changes
2021-10-11,2021-10-11,57793.0,54520.0,54734.0,57485.0,42637331698,57485.0,positive
2021-10-12,2021-10-12,57628.0,54478.0,57527.0,56041.0,41083758949,56041.0,negative
2021-10-13,2021-10-13,57689.0,54371.0,56038.0,57401.0,41684252783,57401.0,positive
2021-10-14,2021-10-14,58479.0,56957.0,57373.0,57322.0,36615791366,57322.0,positive
2021-10-15,2021-10-15,62757.0,56868.0,57346.0,61594.0,51780081801,61594.0,positive
2021-10-16,2021-10-16,62274.0,60206.0,61610.0,60892.0,34250964237,60892.0,negative
2021-10-17,2021-10-17,61646.0,59164.0,60888.0,61554.0,29032367511,61554.0,negative
2021-10-18,2021-10-18,62615.0,60013.0,61549.0,62026.0,38055562075,62026.0,positive
2021-10-19,2021-10-19,64435.0,61623.0,62043.0,64262.0,40471196346,64262.0,positive
2021-10-20,2021-10-20,66930.0,63611.0,64285.0,65993.0,40788955582,65993.0,positive
2021-10-21,2021-10-21,66601.0,62117.0,66002.0,62210.0,45908121370,62210.0,negative
2021-10-22,2021-10-22,63715.0,60123.0,62238.0,60692.0,38434082775,60692.0,negative
